PIID,Est. Ultimate Completion Date,Date Signed,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Principal Place of Performance City Name,Principal Place of Performance State Code,Place of Performance Zip Code,Contractor Name,Street,Vendor City,Vendor State,Zip,DUNS Number,Vendor Phone Number,Effective Date,Action Obligation
47J00019F0003,03/31/2024,03/28/2019,519130,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,B522,SPECIAL STUDIES/ANALYSIS- LEGAL,WASHINGTON,DC,20405-0002,WEST PUBLISHING CORPORATION,610 OPPERMAN DR,EAGAN,MN,55123-1340,148508286,(651) 244-3819,04/01/2019,"$36,484.80"
47J00019F0004,03/31/2024,03/29/2019,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,WASHINGTON,DC,20405-0002,INFOUSA INCORPORATED (4710),5711 S 86TH CIR,OMAHA,NE,68127-4146,068651702,,03/29/2019,"$15,000.00"
GSJ00017F0060,09/26/2022,09/28/2017,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,J070,MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT,WASHINGTON,DC,20405-0001,"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.",1595 SPRING HILL RD STE 400,VIENNA,VA,22182-2228,626578041,(703) 760-3551,09/27/2017,"$7,070.00"
GSH1417AA0064,03/15/2022,02/15/2017,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,W074,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",FORT WORTH,TX,76102-5597,XEROX CORPORATION,8260 WILLOW OAKS CORPORATE DR 6TH FL,FAIRFAX,VA,22031-4513,039860122,(703) 207-2761,03/16/2017,"$2,477.76"
GSH1417AA0081,03/31/2022,03/13/2017,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,W074,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",LOS ANGELES,CA,90012-1097,XEROX CORPORATION,8260 WILLOW OAKS CORPORATE DR 6TH FL,FAIRFAX,VA,22031-4513,039860122,(703) 207-2761,04/01/2017,"$2,618.76"
GSH1417AA0244,09/28/2022,09/25/2017,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,W074,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",LOS ANGELES,CA,90012-1798,"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.",1595 SPRING HILL RD STE 400,VIENNA,VA,22182-2228,626578041,(703) 760-3551,09/29/2017,"$4,147.68"
GSH1417AA0256,09/28/2022,09/29/2017,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,W074,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",SAN FRANCISCO,CA,94111-0001,XEROX CORPORATION,8260 WILLOW OAKS CORPORATE DR 6TH FL,FAIRFAX,VA,22031-4513,039860122,(703) 207-2761,09/29/2017,"$1,626.48"
47QDCA19C0002,03/17/2024,03/15/2019,561450,CREDIT BUREAUS,R611,SUPPORT- ADMINISTRATIVE: CREDIT REPORTING,WASHINGTON,DC,20405-0001,ERNST & YOUNG LLP,"1101 NEW YORK AVENUE, NW",WASHINGTON,DC,20005-4213,095347159,(703) 747-0935,03/18/2019,"$8,833,095.00"
47QFAA18F0027,05/23/2023,05/24/2018,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,VIENNA,VA,22182-2641,"MANAGEMENT CONCEPTS, INC.",8230 LEESBURG PIKE STE 800,TYSONS CORNER,VA,22182-2641,082355652,(703) 790-9595,05/24/2018,"$106,794.85"
47QFCA18C0019,05/09/2023,05/10/2018,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,EMERADO,ND,58228-9601,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",14200 KIRKHAM WAY,POWAY,CA,92064-7103,824684229,(858) 525-6018,05/10/2018,"$2,000,000.00"
